# One row per ingested layer: tier, licence, retrieval date and the caveats that constrain how each table may be read.
layer,name,organisation,tier,availability,licence,attribution,retrieved_at,source_updated,max_confidence,verification_status,source_url,transformation,caveats,assumptions
admin_subdistricts_bengaluru,District and taluk boundaries — bengaluru,"Local Government Directory (LGD) and Survey of India, via the india-geodata community compilation",T3,DOWNLOAD,"CC0-1.0 (public domain dedication, as released)",Boundaries from LGD / Survey of India via india-geodata (CC0),2026-08-12T11:32:52.147500+00:00,,0.7,UNVERIFIED,https://github.com/yashveeeeeeer/india-geodata,National sub-district file streamed and filtered to each city's bounding box; coordinates rounded to 5 dp; ALL-CAPS names title-cased for consistent rendering (casing only — no name was corrected or remapped),"REPUBLISHED, NOT OFFICIAL. LGD and Survey of India are the upstream authorities; this project retrieved a community compilation of them, so it is T3 and reported as INDICATIVE. | VINTAGE IS NOT STATED per feature. Karnataka and Tamil Nadu have both reorganised taluks in recent years, so a name here may predate a reorganisation. | THIS LAYER CANNOT PRODUCE A SURVEY NUMBER. It answers which taluk a point falls in. Survey number remains sourced from the revenue sheets and stays UNAVAILABLE outside their footprint. | Hobli is not an LGD level and is not present in this layer. It remains available only where a revenue sheet covers the point.",
admin_subdistricts_chennai,District and taluk boundaries — chennai,"Local Government Directory (LGD) and Survey of India, via the india-geodata community compilation",T3,DOWNLOAD,"CC0-1.0 (public domain dedication, as released)",Boundaries from LGD / Survey of India via india-geodata (CC0),2026-08-12T11:32:52.168259+00:00,,0.7,UNVERIFIED,https://github.com/yashveeeeeeer/india-geodata,National sub-district file streamed and filtered to each city's bounding box; coordinates rounded to 5 dp; ALL-CAPS names title-cased for consistent rendering (casing only — no name was corrected or remapped),"REPUBLISHED, NOT OFFICIAL. LGD and Survey of India are the upstream authorities; this project retrieved a community compilation of them, so it is T3 and reported as INDICATIVE. | VINTAGE IS NOT STATED per feature. Karnataka and Tamil Nadu have both reorganised taluks in recent years, so a name here may predate a reorganisation. | THIS LAYER CANNOT PRODUCE A SURVEY NUMBER. It answers which taluk a point falls in. Survey number remains sourced from the revenue sheets and stays UNAVAILABLE outside their footprint. | Hobli is not an LGD level and is not present in this layer. It remains available only where a revenue sheet covers the point.",
chennai_wards,Greater Chennai Corporation ward and zone boundaries (2022),Greater Chennai Corporation,T2,DOWNLOAD,As published by the OpenCity urban data portal,"Greater Chennai Corporation, via OpenCity Urban Data Portal",2026-08-18T15:38:22.943456+00:00,2022-01-01,0.85,VERIFIED_COUNTS,https://data.opencity.in/dataset/gcc-ward-information,KML parsed to GeoJSON; ward count and ring closure validated; zone/region assigned by centroid-in-polygon join against the GCC zones layer (DERIVED),"Ward names are not published in this source — wards are identified by number only | Zone assignment is derived by spatial join, not read from the ward source file | Ward map vintage is 2022; re-check for later delimitation",
flood_locations_bengaluru,"Reported flooding locations, Bengaluru Urban",Bruhat Bengaluru Mahanagara Palike (BBMP),T2,DOWNLOAD,Other (Public Domain) as stated by the OpenCity portal,"BBMP flooding locations, via OpenCity Urban Data Portal",2026-08-18T15:48:40.968980+00:00,2025-11-27,0.7,PARTIAL_COVERAGE,https://data.opencity.in/dataset/flooding-locations-in-bengaluru-urban,Three KML layers parsed to points; first vertex used where a placemark carries a line or polygon; duplicates removed at 5 dp,"These are reported flooding locations, not a hazard model. No return period, depth, drainage capacity or terrain analysis is attached. Distance to the nearest reported point is NOT a flood risk score. | No reported point nearby does NOT mean the property does not flood. It means none was recorded in this dataset. | POINT DATA, NOT INUNDATION GEOMETRY. A point marks a reported location, not the extent of flooding around it. | No date is attached per point, so the reporting period is unknown and conditions may have changed since. | This layer does NOT feed the environmental risk score. Flood remains listed as excluded there (audit R7).",
gba_wards,"GBA Final Wards Delimitation 2025 (369 wards, with population)",Greater Bengaluru Authority,T2,DOWNLOAD,Other (Public Domain) as stated by the OpenCity portal,"Greater Bengaluru Authority, via OpenCity Urban Data Portal",2026-08-09T15:49:15.978216+00:00,2025-12-01,0.85,VERIFIED_COUNTS,https://data.opencity.in/dataset/gba-wards-delimitation-2025,KML parsed to GeoJSON; field names normalised; ward/corporation counts and ring closure validated; corporations derived by grouping ward polygons,,
locality_gazetteer_bengaluru,OpenStreetMap locality gazetteer — bengaluru,OpenStreetMap contributors,T3,API,Open Database License (ODbL) 1.0,© OpenStreetMap contributors,2026-08-09T17:19:35.482679+00:00,,0.7,COMMUNITY_SOURCED,https://www.openstreetmap.org/,"Overpass place nodes/ways (suburb, neighbourhood, quarter, village, town, city_district, locality, hamlet) within the city bbox, deduplicated by name preferring the more specific place type","Locality-level resolution only — a locality centroid is not the property's location | Matching a dataset locality string to an OSM place name is derived evidence, not proof of location",
locality_gazetteer_chennai,OpenStreetMap locality gazetteer — chennai (overpass),OpenStreetMap contributors,T3,API,Open Database License (ODbL) 1.0,© OpenStreetMap contributors,2026-08-10T15:36:59.575885+00:00,,0.7,COMMUNITY_SOURCED,https://www.openstreetmap.org/,"Overpass place nodes/ways (suburb, neighbourhood, quarter, village, town, city_district, locality, hamlet) within the city bbox, deduplicated by name preferring the more specific place type","Locality-level resolution only — a locality centroid is not the property's location | Matching a dataset locality string to a place name is derived evidence, not proof of location",
osm_amenities,"OpenStreetMap amenities, transport and government offices",OpenStreetMap contributors,T3,API,Open Database License (ODbL) 1.0,© OpenStreetMap contributors,2026-08-09T17:15:12.849400+00:00,,0.7,COMMUNITY_SOURCED,https://overpass-api.de/api/interpreter,Overpass QL per category; nodes and way centroids; unnamed features dropped except bus stops and ATMs,OSM completeness varies across Greater Bengaluru; absence of a facility in this layer is not evidence that none exists | Government/private classification relies on OSM tagging and is unreliable; it is not an official directory | Jurisdiction is NOT determined by proximity — the nearest office is not necessarily the office with jurisdiction,
osm_amenities_chennai,"OpenStreetMap amenities, transport and government offices",OpenStreetMap contributors,T3,API,Open Database License (ODbL) 1.0,© OpenStreetMap contributors,2026-08-11T14:57:08.281587+00:00,,0.7,COMMUNITY_SOURCED,https://overpass-api.de/api/interpreter,Overpass QL per category; nodes and way centroids; unnamed features dropped except bus stops and ATMs,OSM completeness varies across Greater Bengaluru; absence of a facility in this layer is not evidence that none exists | Government/private classification relies on OSM tagging and is unreliable; it is not an official directory | Jurisdiction is NOT determined by proximity — the nearest office is not necessarily the office with jurisdiction,
property_dataset_bengaluru,Bengaluru house price data — asking prices from listings,Kaggle community dataset (uploader: amitabhajoy),T4,DOWNLOAD,,"Bengaluru house price data, Kaggle (uploader: amitabhajoy)",,,0.55,UNVERIFIED,https://www.kaggle.com/datasets/amitabhajoy/bengaluru-house-price-data,,"UPSTREAM ATTRIBUTION IS RECORDED, LICENCE IS NOT. The Kaggle dataset page is JavaScript-rendered and could not be read programmatically, so the licence is recorded as UNVERIFIED rather than guessed. Confirm it on the dataset page before any redistribution or commercial use. | RETRIEVED FROM A MIRROR, so the mirror's fidelity to the Kaggle original has not been byte-verified. The column set matches the well-known dataset, which is evidence, not proof. | NOT A GOVERNMENT REGISTER. These are ASKING prices scraped from listings, carrying a systematic upward bias of unknown size against transaction prices. | VINTAGE IS UNSTATED. Neither the mirror nor the notebook establishes when these listings were collected, which is why model confidence is capped at 0.45 regardless of validation score.",
property_dataset_chennai,Chennai housing sales price — recorded sale prices,Kaggle community dataset (uploader: kunwarakash),T4,DOWNLOAD,,"Chennai housing sales price, Kaggle (uploader: kunwarakash)",,,0.55,UNVERIFIED,https://www.kaggle.com/datasets/kunwarakash/chennai-housing-sales-price,,"UPSTREAM ATTRIBUTION IS INFERRED, NOT CONFIRMED. The mirror's columns (SALES_PRICE, INT_SQFT, N_BEDROOM, DATE_SALE, AREA) match the well-known Kaggle dataset named above, but the mirror does not cite its own source and the Kaggle page could not be read programmatically. Treat the upstream link as the most likely origin, not an established one. | LICENCE UNVERIFIED for the same reason. | These ARE recorded sale prices including registration fee and commission — genuinely closer to transaction value than the Bengaluru asking-price data. | PERIOD ENDS AROUND 2015. The absolute levels describe a historical market and must not be read as current values. | ONLY 7 LOCALITIES, so spatial validation has 7 blocks. Every model trained on it carries a low-block warning.",
