# 200 GCC wards. place_name and ward_name_local are DERIVED from OpenStreetMap localities, not official GCC ward names; 129/200 carry a Tamil name and the rest are deliberately blank. Geometry reduced to a centroid. This row is NOT a boundary — joining on the centroid gives you a point inside (or near) the shape, not the shape.
ward_no,ward_name,place_name,place_name_local,place_name_source,ward_name_kn,ward_name_local,ward_name_local_lang,ward_name_local_source,corporation,corporation_kn,zone,zone_code,region,zone_source,division,sub_division,assembly,population_total,population_status,geometry_type,centroid_lng,centroid_lat,vertex_count
168,Ward 168 - SIDCO Industrial Estate,SIDCO Industrial Estate,சிட்கோ தொழிற்பேட்டை,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 168 - சிட்கோ தொழிற்பேட்டை,வார்டு 168 - சிட்கோ தொழிற்பேட்டை,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Adyar,XIII,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.214179,13.016773,261
169,Ward 169 - Little Mount,Little Mount,சின்னமலை,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 169 - சின்னமலை,வார்டு 169 - சின்னமலை,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Adyar,XIII,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.232277,13.022086,635
170,Ward 170 - Kotturpuram,Kotturpuram,கோட்டூர்புரம்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 170 - கோட்டூர்புரம்,வார்டு 170 - கோட்டூர்புரம்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Adyar,XIII,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.244077,13.00803,378
171,Ward 171 - Ramakrishna Nagar,Ramakrishna Nagar,ராமகிருஷ்ணா நகர்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 171 - ராமகிருஷ்ணா நகர்,வார்டு 171 - ராமகிருஷ்ணா நகர்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Adyar,XIII,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,MultiPolygon,80.263727,13.023174,321
174,Ward 174 - Besant Nagar,Besant Nagar,பெசன்ட் நகர்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 174 - பெசன்ட் நகர்,வார்டு 174 - பெசன்ட் நகர்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Adyar,XIII,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.26157,13.000798,202
173,Ward 173 - Gandhinagar,Gandhinagar,காந்தி நகர்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 173 - காந்தி நகர்,வார்டு 173 - காந்தி நகர்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Adyar,XIII,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.253454,12.99921,343
179,Ward 179 - Thiruvanmiyur,Thiruvanmiyur,திருவான்மியூர்,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 179 - திருவான்மியூர்,வார்டு 179 - திருவான்மியூர்,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Adyar,XIII,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.260663,12.992062,306
178,Ward 178 - Taramani,Taramani,தரமணி,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 178 - தரமணி,வார்டு 178 - தரமணி,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Adyar,XIII,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.241973,12.984242,506
172,Ward 172 - Guindy,Guindy,கிண்டி,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 172 - கிண்டி,வார்டு 172 - கிண்டி,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Adyar,XIII,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.227232,12.992167,696
177,Ward 177 - Velachery,Velachery,வேளச்சேரி,DERIVED - nearest/containing OpenStreetMap locality; not an official ward name,வார்டு 177 - வேளச்சேரி,வார்டு 177 - வேளச்சேரி,ta,DERIVED - Tamil name of the matched OpenStreetMap locality. Not an official GCC ward name in Tamil.,Greater Chennai Corporation,பெருநகர சென்னை மாநகராட்சி,Adyar,XIII,South,DERIVED — centroid-in-polygon join to GCC zones 2022,,,,,UNAVAILABLE,Polygon,80.222872,12.979898,372
