# 391 reported flooding locations from 3 BBMP layers. NOT a hazard model: no return period, depth or drainage. Absence of a nearby point is not evidence a location does not flood.
name,kind,source_layer,geometry_type,centroid_lng,centroid_lat,vertex_count
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.532435,12.867499,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.528083,12.871775,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.542694,12.877711,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.541273,12.877865,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.637418,12.878907,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.604051,12.879969,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.603987,12.880518,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.604415,12.880586,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.608253,12.881756,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.642075,12.885937,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.611508,12.89657,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.692907,12.897817,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.633121,12.900922,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.631443,12.90136,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.611262,12.901886,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.598853,12.903331,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.602807,12.904455,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.626758,12.904782,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.603036,12.904903,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.644933,12.909073,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.641585,12.909359,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.512709,12.911066,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.632402,12.911655,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.574917,12.914056,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.61675,12.91575,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.520507,12.915793,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.522556,12.916406,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.520883,12.916433,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.599889,12.916472,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.622722,12.917194,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.501991,12.918067,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.621889,12.918639,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.732498,12.92109,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.599944,12.921694,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.51148,12.922204,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.518522,12.922817,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.600444,12.923,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.538937,12.923239,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.505003,12.923415,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.539133,12.924696,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.521556,12.924817,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.609028,12.924944,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.678116,12.926464,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.520331,12.928569,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.717908,12.928796,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.601028,12.93025,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.512992,12.931592,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.593917,12.931917,1
,Location vulnerable to flooding,Map_of_Locations_Vulnerable_to_Flooding_in_Bengaluru_Urban,Point,77.535323,12.932023,1
