# 369 GBA wards. WARNING: _raw_tot_p is the source population field and sums to ~6x the real Greater Bengaluru total, with 125/369 rows failing male+female=total. Do NOT use it as population. Geometry reduced to a centroid. This row is NOT a boundary — joining on the centroid gives you a point inside (or near) the shape, not the shape.
ward_no,ward_name,ward_name_kn,corporation,corporation_kn,corporation_id,zone,division,sub_division,assembly,assembly_no,population_total,population_status,population_note,_raw_tot_p,_raw_tot_m,_raw_tot_f,_raw_sc_p,_raw_st_p,zone_csv,geometry_type,centroid_lng,centroid_lat,vertex_count
25,25 - Vinayaka Layout,ವಿನಾಯಕ ಲೇಔಟ್,West,ಪಶ್ಚಿಮ,5,Rajarajeshwarinagar,RO- Rajarajeswari Nagara,ARO- Jnana Bharathi,154 - Rajarajeshwarinagar,154,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,201700,101680,100020,14960,4060,Bommanahalli,Polygon,77.513978,12.963398,847
2,2 - Aerocity,ಏರೋಸಿಟಿ,North,ಉತ್ತರ,2,Yelahanka,RO- Yelahanka,ARO- Yelahanka Old Town,150 - Yelahanka,150,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,206550,108440,98100,16360,5630,Jayanagar,MultiPolygon,77.611296,13.110517,577
3,3 - Chowdeshwari ward,ಚೌಡೇಶ್ವರಿ ವಾರ್ಡ್,North,ಉತ್ತರ,2,Yelahanka,RO- Yelahanka,ARO- Yelahanka Old Town,150 - Yelahanka,150,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,267950,145020,122810,24320,4770,Jayanagar,Polygon,77.580125,13.122288,300
15,15 - Ramamurthy Nagara,ರಾಮಮೂರ್ತಿ ನಗರ,East,ಪೂರ್ವ,3,K.R. Pura,RO- Ramamurthy Nagara,ARO- Ramamurthy Nagara,151 - K.R. Pura,151,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,172570,87380,85190,40170,3540,Jayanagar,Polygon,77.678372,13.014218,118
58,58 - Nagashettyhalli,ನಾಗಶೆಟ್ಟಿಹಳ್ಳಿ,North,ಉತ್ತರ,2,Yelahanka,RO- Hebbal,ARO- Nagashettyhalli,158 - Hebbal,158,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,232890,118610,114290,16430,4120,Bommanahalli,Polygon,77.574591,13.040883,134
21,21 - Kogilu,ಕೋಗಿಲು,North,ಉತ್ತರ,2,Byatarayanapura,RO- Thanisandra,ARO- Kogilu,152 - Byatarayanapura,152,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,287280,150840,136430,36560,6090,Bommanahalli,Polygon,77.628963,13.105468,693
46,46 - Yamalur,ಯಮಲೂರು,East,ಪೂರ್ವ,3,Mahadevapura,RO- Bellanduru,ARO- Bellanduru,174 - Mahadevapura,174,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,175260,99490,75770,26950,3600,Jayanagar,Polygon,77.666395,12.944081,528
24,24 - Agaram,ಅಗರಂ,Central,ಕೇಂದ್ರ,1,C.V. Raman Nagar,RO - Shanthinagar,ARO- Domluru,163 - Shanthinagar,163,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,280810,140880,139930,75800,5300,Bommanahalli,Polygon,77.636467,12.946879,1115
72,72 - Dasarahalli,ದಾಸರಹಳ್ಳಿ,North,ಉತ್ತರ,2,Yelahanka,RO- Dasarahalli,ARO- Dasarahalli,155 - Dasarahalli,155,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,290820,154100,136720,21620,5210,Bommanahalli,Polygon,77.516297,13.046166,137
11,11 - Old Baiyappanahalli,ಹಳೆ ಬೈಯಪ್ಪನಹಳ್ಳಿ,Central,ಕೇಂದ್ರ,1,C.V. Raman Nagar,RO- Indiranagar,ARO- Kasturi Nagar,161 - C.V. Raman Nagar,161,,UNVERIFIED,Source TOT_P field sums to ~6x the known Greater Bengaluru population; field definition unconfirmed. Not published.,188580,95720,91260,96960,3360,Jayanagar,Polygon,77.642502,12.992518,105
