# OpenStreetMap localities for bengaluru (T3, ODbL). name_local is the local-script name where OSM carries one.
name,name_local,place_type,lat,lng
Anekal,ಆನೇಕಲ್,town,12.708637,77.699397
Sarjapura,ಸರ್ಜಾಪುರ,town,12.860087,77.786135
Karappanahalli,ಕರಪನಹಳ್ಳಿ,village,13.165441,77.883706
Devanahalli,ದೇವನಹಳ್ಳಿ,town,13.24835,77.713438
Vidyaranyapura,ವಿದ್ಯಾರಣ್ಯಪುರ,suburb,13.076641,77.557732
Bidadi,ಬಿಡದಿ,town,12.798851,77.386995
Kannuru,ಕಣ್ಣೂರು,village,13.092325,77.653897
Domlur,ದೊಮ್ಮಲೂರು,quarter,12.962467,77.638196
Kodihalli,ಕೋಡಿಹಳ್ಳಿ,quarter,12.962845,77.647902
Whitefield,ವೈಟ್‌ಫೀಲ್ಡ್‌,suburb,12.969637,77.749745
Brookefield,ಬ್ರೂಕ್ ಫೀಲ್ಡ್ಸ್,quarter,12.965209,77.717936
Srirampura,ರಾಮಪುರ,neighbourhood,13.066029,77.619681
R K Hegde Nagara,ಹೆಗ್ಡೆನಗರ,quarter,13.072035,77.633391
Shabarinagara,ಶಬರಿನಗರ,neighbourhood,13.071362,77.63794
Honnenahalli,ಹೊನ್ನೇನಹಳ್ಳಿ,village,13.159864,77.566459
Rajanakunte,ರಾಜನಕುಂಟೆ,village,13.16919,77.563944
Kothanur,ಕೊತನೂರು,quarter,13.06136,77.649389
Geddalahalli,ಗೆದ್ದಲಹಳ್ಳಿ,neighbourhood,13.029873,77.576901
Bileshivale,ಬಿಳಿಶಿವಾಲೆ,village,13.054331,77.671022
Dodda Gubbi,ದೊಡ್ಡ ಗುಬ್ಬಿ,village,13.071204,77.673177
Kyalasanahalli,ಕ್ಯಾಲಸನಹಳ್ಳಿ,village,13.056458,77.659132
Anagalapura,ಅಣಗಲಪುರ,village,13.068759,77.682187
Bande Bommasandra,ಬಂಡೆ ಬೊಮ್ಮಸಂದ್ರ,village,13.076558,77.680979
Chikkabyrathi,ಚಿಕ್ಕಬೈರತಿ,neighbourhood,13.055321,77.649503
Byrathi,ಭೈರತಿ,neighbourhood,13.056353,77.652099
Seshadripuram,ಶೇಷಾದ್ರಿಪುರಂ,quarter,12.993188,77.575342
Malleswaram,ಮಲ್ಲೇಶ್ವರಂ,suburb,13.002735,77.570325
Sampangirama Nagar,ಸಂಪಾಂಗಿರಾಮನಗರ,neighbourhood,12.966456,77.592261
Shanti Nagar,ಶಾಂತಿನಗರ,suburb,12.955537,77.592428
Shivajinagar,ಶಿವಾಜಿನಗರ,suburb,12.985529,77.60545
Gandhinagar,ಗಾಂಧಿನಗರ,suburb,12.977153,77.580031
VV Puram,ವಿಶ್ವೇಶ್ವರಪುರಂ,quarter,12.953183,77.57611
Jayanagar,ಜಯನಗರ,suburb,12.929273,77.582423
JP Nagar,ಜಯಪ್ರಕಾಶ ನಾರಾಯಣ ನಗರ,suburb,12.909694,77.586607
Banashankari 2nd Stage,ಬನಶಂಕರಿ,quarter,12.926867,77.563719
Chamarajapete,ಚಾಮರಾಜಪೇಟೆ,suburb,12.958418,77.562916
Sriramapuram,ಶ್ರೀರಾಮಪುರಂ,quarter,12.990987,77.563809
Rajajinagar,ರಾಜಾಜಿನಗರ,suburb,12.988234,77.554883
Vijaya Nagar,ವಿಜಯನಗರ,suburb,12.966399,77.535409
Hampi Nagar,ಹಂಪಿನಗರ,quarter,12.960911,77.535841
Mavalli,ಮಾವಳ್ಳಿ,neighbourhood,12.952848,77.581964
Madiwala,ಮಡಿವಾಳ,quarter,12.923815,77.617629
Koramangala,ಕೋರಮಂಗಲ,suburb,12.935737,77.624081
Adugodi,ಅಡುಗೊಡಿ,quarter,12.944023,77.608887
Wilson Garden,ವಿಲ್ಸನ್ ಗಾರ್ಡನ್,quarter,12.948934,77.596827
