# OpenStreetMap localities for chennai (T3, ODbL). name_local is the local-script name where OSM carries one.
name,name_local,place_type,lat,lng
Alwarpet,ஆழ்வார்பேட்டை,suburb,13.03386,80.254549
Teynampet,தேனாம்பேட்டை,suburb,13.044324,80.249846
Gopalapuram,கோபாலபுரம்,suburb,13.049732,80.258203
Nandanam,நந்தனம்,suburb,13.028629,80.240256
Raja Annamalai Puram,இராஜா அண்ணாமலைபுரம்,suburb,13.024478,80.253937
Abhiramapuram,அபிராமபுரம்,suburb,13.031024,80.2583
CIT Colony,சி ஐ டி காலனி,neighbourhood,13.04131,80.260472
Poonamallee,ಪೂನಮಲ್ಲಿ,town,13.049203,80.101068
Porur,போரூர்,suburb,13.032013,80.158304
Mylapore,மயிலாப்பூர்,suburb,13.031647,80.270017
Mandaveli,மந்தைவெளி,suburb,13.025844,80.262788
Mahalingapuram,,neighbourhood,13.056783,80.236404
Nungambakkam,நுங்கம்பாக்கம்,suburb,13.062063,80.240487
Kodambakkam,கோடம்பாக்கம்,suburb,13.049207,80.224283
Ashok Nagar,அஷோக் நகர்,suburb,13.040073,80.215925
Saidapet,சைதாப்பேட்டை,suburb,13.020817,80.223954
East Abhiramapuram,,neighbourhood,13.034268,80.261791
Santhome,சாந்தோம்,suburb,13.029837,80.275738
Royapettah,ராயப்பேட்டை,suburb,13.055472,80.263971
Triplicane,திருவல்லிக்கேணி,suburb,13.060429,80.27507
Thousand Lights,ஆயிரம் விளக்கு,suburb,13.058783,80.255711
Pudupet,,neighbourhood,13.071202,80.26696
Egmore,எழும்பூர்,suburb,13.072832,80.257691
Island Grounds,தீவு மைதானம்,suburb,13.0742,80.279362
Chepauk,சேப்பாக்கம்,suburb,13.064513,80.283118
Chetpet,சேத்துப்பட்டு,suburb,13.071745,80.243797
MRC Nagar,,suburb,13.019669,80.270652
Saligramam,சாலிகிராமம்,suburb,13.058341,80.198533
Aminjikarai,அமைந்தக்கரை,suburb,13.07214,80.220545
Arumbakkam,அரும்பாக்கம்,suburb,13.074371,80.208131
Anna Nagar,அண்ணா நகர்,suburb,13.0872,80.216442
Padi,பாடி,suburb,13.103585,80.192042
Villivakkam,வில்லிவாக்கம்,suburb,13.112588,80.208138
ICF Colony,,suburb,13.099531,80.220238
Perambur,பெரம்பூர்,suburb,13.112124,80.245022
Sowcarpet,சௌகார்பேட்டை,neighbourhood,13.088497,80.278309
Vallalar Nagar,வள்ளலார் நகர்,suburb,13.101926,80.278777
Gandhinagar,காந்தி நகர்,neighbourhood,13.008993,80.253863
Besant Nagar,பெசன்ட் நகர்,suburb,12.999691,80.268226
Adyar,அடையாறு,suburb,13.00645,80.257779
Little Mount,சின்னமலை,suburb,13.014186,80.226688
Guindy,கிண்டி,suburb,13.00871,80.220365
Thiruvanmiyur,திருவான்மியூர்,suburb,12.985895,80.264421
Kotturpuram,கோட்டூர்புரம்,suburb,13.01937,80.243551
Kannammapet,கண்ணம்மாபேட்டை,neighbourhood,13.032326,80.228078
CIT Nagar,,neighbourhood,13.029384,80.234283
Nagerkoyil Sudalaimuthu Krishnan Nagar,,neighbourhood,13.077751,80.216713
Shenoy Nagar,ஷெனாய் நகர்,suburb,13.078667,80.227255
Kilpauk,கீழ்ப்பாக்கம்,suburb,13.083215,80.237986
George Town,முத்தியால்பேட்டை,suburb,13.092092,80.282243
Park Town,பூங்கா நகர,suburb,13.086349,80.272732
Royapuram,ராயபுரம்,suburb,13.114619,80.294028
Vyasarpadi,வியாசர்பாடி,suburb,13.116973,80.257124
Basin Bridge,பேசின் பிரிட்ஜ்,suburb,13.108047,80.269908
Washermanpet,வண்ணாரப்பேட்டை,suburb,13.11363,80.281481
Mannady,மண்ணடி,locality,13.095944,80.287101
SIDCO Industrial Estate,சிட்கோ தொழிற்பேட்டை,suburb,13.01407,80.209121
West Saidapet,மேற்கு சைதாப்பேட்டை,neighbourhood,13.025258,80.220424
Todhunter Nagar,,neighbourhood,13.022615,80.230809
Jothiammal Nagar,,neighbourhood,13.019511,80.228897
East Tambaram,கிழக்கு தாம்பரம்,suburb,12.926515,80.131453
Chromepet,குரோம்பேட்டை,suburb,12.949684,80.135642
Pallavaram,பல்லாவரம்,suburb,12.965467,80.145118
Selaiyur,சேலையூர்,suburb,12.918745,80.131117
Chitlapakkam,சிட்லப்பாக்கம்,suburb,12.933098,80.141383
Hasthinapuram,ஹஸ்தினாபுரம்,suburb,12.937282,80.151985
Rajakilpakkam,ராஜகீழ்பாக்கம்,suburb,12.914585,80.157906
Medavakkam,மேடவாக்கம்,suburb,12.922993,80.18829
Perumbakkam,பெரும்பாக்கம்,suburb,12.90501,80.196863
Sithalapakkam,சித்தாலப்பாக்கம்,suburb,12.891705,80.185113
Sholinganallur,சோழிங்கநல்லூர்,suburb,12.893536,80.232063
Madambakkam,மாதம்பாக்கம்,suburb,12.905719,80.154386
Tiruneermalai,திருநீர்மலை,village,12.963094,80.113541
Pammal,பம்மல்,suburb,12.973794,80.1408
Adambakkam,ஆதம்பாக்கம்,suburb,12.982221,80.209121
Irumbuliyur,இரும்புலியூர்,suburb,12.912203,80.108898
Kasturibai Nagar,கஸ்தூரிபாய் நகர்,neighbourhood,13.004044,80.250938
Indira Nagar,இந்திரா நகர்,locality,12.996315,80.25242
Shastri Nagar,சாஸ்திரி நகர்,neighbourhood,12.998773,80.259912
Kalakshetra Colony,,locality,12.993635,80.266422
Thuraipakkam,துறைப்பாக்கம்,suburb,12.938553,80.237213
Perungudi,பெருங்குடி,suburb,12.971024,80.241805
Nehru Nagar Industrial Estate,நேரு நகர் தொழிற்பேட்டை,neighbourhood,12.974216,80.247542
Venus Colony,வீனஸ் காலனி,neighbourhood,13.040107,80.25492
Seethammal Colony,,neighbourhood,13.035959,80.253442
Poes Garden,போயஸ் கார்டன்,neighbourhood,13.043707,80.253316
Anna Nagar East,அண்ணா நகர் கிழக்கு,neighbourhood,13.085212,80.225889
Anna Nagar West,அண்ணா நகர் மேற்கு,suburb,13.094079,80.192298
Ayanavaram,அயனாவரம்,suburb,13.094616,80.23541
Flower Bazaar,பூக்கடை,neighbourhood,13.089344,80.28197
Kondithope,,locality,13.10004,80.279084
Seven Wells,,locality,13.100569,80.282115
Lock Nagar,,neighbourhood,13.066503,80.281598
Ganapathy Colony,கணபதி காலனி,neighbourhood,13.050851,80.259732
Ambattur,ಅಂಬತ್ತೂರು,suburb,13.119375,80.150765
Mogappair East,முகப்பேர் கிழக்கு,suburb,13.083514,80.184078
GingerBread,,locality,13.080216,80.173696
Korattur,கொரட்டூர்,suburb,13.111548,80.184627
Foreshore Estate,பட்டினம்பாக்கம்,suburb,13.024921,80.277687
Srinagar Colony,ஸ்ரீநகர் காலனி,neighbourhood,13.013467,80.230278
Nanganallur,நங்கநல்லூர்,suburb,12.980124,80.184902
Madipakkam,மடிப்பாக்கம்,suburb,12.961135,80.200129
Kannan Nagar,கண்ணன் நகர்,neighbourhood,12.969907,80.189316
Balaji Nagar,பாலாஜி நகர்,neighbourhood,12.972164,80.190572
