# Every algorithm under two CV schemes. spatial_cv_r2 is the honest number and is what the shipped model was selected on; leakage_gap_r2 is how much random k-fold overstates it by letting neighbouring properties cross folds.
city,algorithm,is_shipped_model,spatial_cv_r2,spatial_cv_mae,spatial_cv_rmse,spatial_cv_mape_pct,random_cv_r2,random_cv_mae,leakage_gap_r2,target
bengaluru,baseline_median,False,-0.0653,1895.02,3266.08,28.77,-0.0623,1892.88,0.003,asking price per sq.ft (INR)
bengaluru,linear_regression,False,0.2959,1743.46,2655.64,30.646,0.3406,1657.8,0.0447,asking price per sq.ft (INR)
bengaluru,random_forest,False,0.4022,1589.48,2447.5,27.842,0.5346,1263.7,0.1324,asking price per sq.ft (INR)
bengaluru,gradient_boosting,False,0.4231,1566.84,2404.14,27.318,0.5116,1407.08,0.0885,asking price per sq.ft (INR)
bengaluru,hist_gradient_boosting,True,0.4132,1593.22,2424.7,27.868,0.5473,1285.16,0.1341,asking price per sq.ft (INR)
bengaluru,xgboost,False,0.4121,1581.54,2426.72,27.7,0.5381,1283.28,0.126,asking price per sq.ft (INR)
chennai,baseline_median,False,-0.7303,2072.08,2548.48,27.654,-0.0177,1954.8,0.7126,recorded sale price per sq.ft (INR)
chennai,linear_regression,False,0.7292,870.6,1004.82,11.4,0.9652,354.86,0.236,recorded sale price per sq.ft (INR)
chennai,random_forest,False,-0.247,1758.52,1965.76,24.186,0.9715,286.6,1.2185,recorded sale price per sq.ft (INR)
chennai,gradient_boosting,False,0.2293,1509.36,1685.32,19.88,0.987,204.8,0.7577,recorded sale price per sq.ft (INR)
chennai,hist_gradient_boosting,True,0.3809,1272.24,1459.22,17.334,0.9962,100.12,0.6153,recorded sale price per sq.ft (INR)
chennai,xgboost,False,0.2745,1378.96,1545.06,19.02,0.9956,104.46,0.7211,recorded sale price per sq.ft (INR)
