# 4,151 survey parcels from digitised Bengaluru Urban revenue sheets. COVERAGE IS PARTIAL (3 taluks, 7 hoblis). A survey number here is INDICATIVE and settles nothing about boundary or title. Geometry reduced to a centroid. This row is NOT a boundary — joining on the centroid gives you a point inside (or near) the shape, not the shape.
taluk,hobli,village,survey_number,pcode,district,source_sheet,geometry_type,centroid_lng,centroid_lat,vertex_count
Bangalore East,Bidarahalli,Kadugodi Plantation,ROAD,200301002045,Bengaluru Urban,Bangalore_East_Bidarahalli_Kadugodi_Plantation_Revenue_Map,Polygon,77.747783,12.995448,64
Bangalore East,Bidarahalli,Kadugodi Plantation,1,200301002045,Bengaluru Urban,Bangalore_East_Bidarahalli_Kadugodi_Plantation_Revenue_Map,Polygon,77.755397,12.993071,537
Bangalore East,Bidarahalli,Kadugodi Plantation,TANK,200301002045,Bengaluru Urban,Bangalore_East_Bidarahalli_Kadugodi_Plantation_Revenue_Map,Polygon,77.756566,12.993198,490
Bangalore East,Krishnarajapura,Thippasandra Manavarthekaval,1,200301005045,Bengaluru Urban,Bangalore_East_KRPura_Thippasandramanavartikaval_Revenue_Map,Polygon,77.645884,12.97802,18
Bangalore East,Krishnarajapura,Thippasandra Manavarthekaval,2,200301005045,Bengaluru Urban,Bangalore_East_KRPura_Thippasandramanavartikaval_Revenue_Map,Polygon,77.648029,12.978621,232
Bangalore East,Krishnarajapura,Thippasandra Manavarthekaval,TANK,200301005045,Bengaluru Urban,Bangalore_East_KRPura_Thippasandramanavartikaval_Revenue_Map,Polygon,77.648007,12.978652,223
Bangalore East,Krishnarajapura,Thippasandra Manavarthekaval,3,200301005045,Bengaluru Urban,Bangalore_East_KRPura_Thippasandramanavartikaval_Revenue_Map,Polygon,77.651244,12.977728,21
Bangalore East,Krishnarajapura,Thippasandra Manavarthekaval,4,200301005045,Bengaluru Urban,Bangalore_East_KRPura_Thippasandramanavartikaval_Revenue_Map,Polygon,77.653733,12.976247,18
Bangalore East,Krishnarajapura,Basavanapura,16,200301005002,Bengaluru Urban,Bangalore_East_KRPura1_Basavanapura_Revenue_Map,Polygon,77.713657,13.013508,16
Bangalore East,Krishnarajapura,Basavanapura,13,200301005002,Bengaluru Urban,Bangalore_East_KRPura1_Basavanapura_Revenue_Map,Polygon,77.71206,13.013311,25
Bangalore East,Krishnarajapura,Basavanapura,7,200301005002,Bengaluru Urban,Bangalore_East_KRPura1_Basavanapura_Revenue_Map,Polygon,77.709553,13.013935,23
Bangalore East,Krishnarajapura,Basavanapura,12,200301005002,Bengaluru Urban,Bangalore_East_KRPura1_Basavanapura_Revenue_Map,Polygon,77.711167,13.014561,8
Bangalore East,Krishnarajapura,Basavanapura,9,200301005002,Bengaluru Urban,Bangalore_East_KRPura1_Basavanapura_Revenue_Map,Polygon,77.710871,13.013318,11
Bangalore East,Krishnarajapura,Basavanapura,17,200301005002,Bengaluru Urban,Bangalore_East_KRPura1_Basavanapura_Revenue_Map,Polygon,77.717549,13.012011,12
Bangalore East,Krishnarajapura,Basavanapura,11,200301005002,Bengaluru Urban,Bangalore_East_KRPura1_Basavanapura_Revenue_Map,Polygon,77.711421,13.013633,5
