# 23,324 BBMP road segments. TWO WIDTH COLUMNS: width_existing_m and width_proposed_m. The proposed figure is larger on 100% of segments (median 18 m vs 9 m) and MUST NOT be used for FAR, height or setback. Geometry reduced to a centroid. This row is NOT a boundary — joining on the centroid gives you a point inside (or near) the shape, not the shape.
road_id,hierarchy_code,hierarchy_interpretation_unverified,surface_code,width_existing_m,width_proposed_m,length_m,geometry_type,centroid_lng,centroid_lat,vertex_count
556,MI,Minor road (unverified expansion),C,8.0,15.0,3451.7,LineString,77.457597,12.962467,10
542,PU,Code 'PU' — expansion not published,C,18.0,36.0,596.9,LineString,77.645293,13.048924,35
542,PU,Code 'PU' — expansion not published,C,18.0,36.0,63.2,LineString,77.646715,13.054604,10
7,MA,Major road (unverified expansion),C,15.0,30.0,278.5,LineString,77.518326,12.877083,9
8,MA,Major road (unverified expansion),C,15.0,30.0,89.9,LineString,77.519819,12.876454,2
238,MA,Major road (unverified expansion),C,9.0,18.0,18.4,LineString,77.483809,12.929383,2
392,MI,Minor road (unverified expansion),C,6.0,12.0,527.8,LineString,77.574335,12.860035,4
4,MA,Major road (unverified expansion),C,9.0,18.0,376.7,LineString,77.486081,13.045109,5
5,MA,Major road (unverified expansion),C,9.0,18.0,346.8,LineString,77.483919,13.034399,4
557,MA,Major road (unverified expansion),C,9.0,18.0,223.4,LineString,77.468547,12.913187,3
558,MA,Major road (unverified expansion),C,9.0,18.0,1115.7,LineString,77.462288,12.911976,2
559,MA,Major road (unverified expansion),C,9.0,18.0,63.8,LineString,77.469663,12.937754,3
561,MA,Major road (unverified expansion),C,9.0,18.0,42.1,LineString,77.471004,12.951847,2
562,MA,Major road (unverified expansion),C,9.0,18.0,805.5,LineString,77.468637,12.951853,10
446,MA,Major road (unverified expansion),C,9.0,18.0,512.8,LineString,77.554926,13.110584,5
173,MI,Minor road (unverified expansion),C,6.0,12.0,228.3,LineString,77.752311,13.001031,2
180,MA,Major road (unverified expansion),C,12.0,24.0,406.1,LineString,77.487063,12.911025,7
236,MA,Major road (unverified expansion),C,9.0,18.0,2235.5,LineString,77.464363,12.95092,18
236,MA,Major road (unverified expansion),C,9.0,18.0,952.8,LineString,77.470555,12.985923,83
236,MA,Major road (unverified expansion),C,9.0,18.0,1371.4,LineString,77.465225,12.976963,152
236,MA,Major road (unverified expansion),C,9.0,18.0,866.6,LineString,77.464319,12.968516,78
566,MA,Major road (unverified expansion),C,12.0,24.0,135.8,LineString,77.770418,12.995489,4
235,MI,Minor road (unverified expansion),C,8.0,15.0,172.7,LineString,77.467152,12.944348,10
237,MA,Major road (unverified expansion),C,9.0,18.0,686.8,LineString,77.462085,12.935467,7
396,MA,Major road (unverified expansion),C,12.0,24.0,197.7,LineString,77.535381,12.885786,13
397,MA,Major road (unverified expansion),C,12.0,24.0,199.8,LineString,77.531005,12.885494,2
398,MA,Major road (unverified expansion),C,9.0,18.0,204.9,LineString,77.529743,12.892774,2
403,MA,Major road (unverified expansion),C,15.0,30.0,776.1,LineString,77.53579,12.872791,7
442,MA,Major road (unverified expansion),C,8.0,15.0,259.9,LineString,77.484135,12.972944,2
567,PU,Code 'PU' — expansion not published,C,22.0,45.0,2456.1,LineString,77.756375,12.961182,13
6,MA,Major road (unverified expansion),C,12.0,24.0,610.3,LineString,77.738872,13.006954,8
191,MI,Minor road (unverified expansion),C,6.0,12.0,258.7,LineString,77.751483,12.999007,2
192,MA,Major road (unverified expansion),C,12.0,24.0,824.6,LineString,77.744961,13.014482,7
368,MA,Major road (unverified expansion),C,12.0,24.0,36.6,LineString,77.67724,13.033423,6
375,MI,Minor road (unverified expansion),C,8.0,15.0,0.0,LineString,77.601992,12.923951,2
375,MI,Minor road (unverified expansion),C,8.0,15.0,186.2,LineString,77.601381,12.924051,9
375,MI,Minor road (unverified expansion),C,8.0,15.0,400.0,LineString,77.603541,12.92474,29
554,MA,Major road (unverified expansion),C,9.0,18.0,757.9,LineString,77.720564,13.035833,13
154,IR,Inner Ring Road (unverified expansion),C,15.0,30.0,491.3,LineString,77.610299,13.002965,10
568,MA,Major road (unverified expansion),C,15.0,30.0,202.4,LineString,77.476449,13.040083,3
70,MA,Major road (unverified expansion),C,12.0,24.0,2312.0,LineString,77.712537,12.901767,8
399,MA,Major road (unverified expansion),C,15.0,30.0,2177.0,LineString,77.529772,12.886628,23
247,MA,Major road (unverified expansion),C,12.0,24.0,337.7,LineString,77.485871,12.886074,3
9,MA,Major road (unverified expansion),C,9.0,18.0,62.3,LineString,77.531184,12.895307,2
1314,MI,Minor road (unverified expansion),C,8.0,15.0,638.0,LineString,77.731788,13.03487,78
14,MA,Major road (unverified expansion),C,12.0,24.0,831.8,LineString,77.726752,13.012388,5
679,MI,Minor road (unverified expansion),C,6.0,12.0,57.6,LineString,77.530031,13.082054,6
18955,OR,Outer Ring Road (unverified expansion),W,22.0,45.0,619.8,LineString,77.521686,12.993688,12
215349,MA,Major road (unverified expansion),W,12.0,24.0,7.5,LineString,77.55443,12.948339,2
32609,MA,Major road (unverified expansion),W,12.0,24.0,44.9,LineString,77.527575,12.957655,4
98298,MA,Major road (unverified expansion),W,12.0,24.0,264.7,LineString,77.693205,13.034388,11
7434,MA,Major road (unverified expansion),W,9.0,18.0,240.7,LineString,77.652319,12.82323,20
499,MA,Major road (unverified expansion),C,8.0,15.0,46.3,LineString,77.442922,12.870629,2
255,MA,Major road (unverified expansion),C,9.0,18.0,392.9,LineString,77.68675,12.969439,8
61,PU,Code 'PU' — expansion not published,C,22.0,45.0,5551.6,LineString,77.720826,12.927592,8
147,MA,Major road (unverified expansion),C,12.0,24.0,105.2,LineString,77.579915,12.871028,3
11,MA,Major road (unverified expansion),C,12.0,24.0,149.6,LineString,77.673935,12.847638,14
139,MA,Major road (unverified expansion),C,12.0,24.0,266.6,LineString,77.645621,12.882168,2
611,MA,Major road (unverified expansion),C,9.0,18.0,153.6,LineString,77.624861,13.050459,3
621,MA,Major road (unverified expansion),C,12.0,24.0,64.6,LineString,77.61,12.878856,4
0,MI,Minor road (unverified expansion),W,8.0,15.0,18.4,LineString,77.605162,13.055538,4
622,MA,Major road (unverified expansion),C,12.0,24.0,611.4,LineString,77.686142,13.002881,6
560,MA,Major road (unverified expansion),C,9.0,18.0,778.5,LineString,77.464944,12.938382,8
116886,MI,Minor road (unverified expansion),W,6.0,12.0,1407.2,LineString,77.55661,13.125678,48
98877,MA,Major road (unverified expansion),W,9.0,18.0,160.7,LineString,77.684313,13.039315,16
230082,MA,Major road (unverified expansion),W,12.0,24.0,873.9,LineString,77.669898,13.047694,130
229935,MA,Major road (unverified expansion),W,12.0,24.0,61.1,LineString,77.528852,12.999198,8
569,MA,Major road (unverified expansion),C,15.0,30.0,652.6,LineString,77.478363,13.0294,2
576,MA,Major road (unverified expansion),C,12.0,24.0,916.5,LineString,77.719939,12.972608,6
652,MI,Minor road (unverified expansion),C,6.0,12.0,166.6,LineString,77.665729,12.927073,3
406,MA,Major road (unverified expansion),C,9.0,18.0,1062.4,LineString,77.54845,12.888472,12
423,MA,Major road (unverified expansion),C,12.0,24.0,269.6,LineString,77.581999,12.866195,6
10,MI,Minor road (unverified expansion),C,6.0,12.0,200.6,LineString,77.598556,12.85556,2
577,MA,Major road (unverified expansion),C,12.0,24.0,154.0,LineString,77.714343,12.973007,3
58,MA,Major road (unverified expansion),C,15.0,30.0,688.4,LineString,77.695285,12.894413,2
570,MA,Major road (unverified expansion),C,15.0,30.0,1026.0,LineString,77.566315,13.028132,11
571,MA,Major road (unverified expansion),C,12.0,24.0,288.1,LineString,77.560496,13.011135,4
127,MA,Major road (unverified expansion),C,12.0,24.0,280.0,LineString,77.635896,12.893133,5
148,MA,Major road (unverified expansion),C,12.0,24.0,400.9,LineString,77.571683,12.871688,4
149,MA,Major road (unverified expansion),C,12.0,24.0,207.2,LineString,77.588948,12.892805,4
395,MI,Minor road (unverified expansion),C,6.0,12.0,99.1,LineString,77.561542,12.894077,2
451,MI,Minor road (unverified expansion),C,8.0,15.0,439.9,LineString,77.590152,12.877543,6
455,MA,Major road (unverified expansion),C,9.0,18.0,441.0,LineString,77.560554,12.863897,3
19,MI,Minor road (unverified expansion),C,6.0,12.0,65.6,LineString,77.67004,12.974631,4
578,MA,Major road (unverified expansion),C,12.0,24.0,76.0,LineString,77.71181,12.973112,2
21,MA,Major road (unverified expansion),C,12.0,24.0,2310.8,LineString,77.696928,12.964235,114
623,MI,Minor road (unverified expansion),C,8.0,15.0,350.8,LineString,77.493747,13.033242,7
308,MA,Major road (unverified expansion),C,12.0,24.0,688.6,LineString,77.66736,12.882309,7
309,MA,Major road (unverified expansion),C,12.0,24.0,1014.3,LineString,77.660064,12.883081,6
210,MI,Minor road (unverified expansion),C,6.0,12.0,78.0,LineString,77.519776,12.977459,2
0,MA,Major road (unverified expansion),,12.0,24.0,19.1,LineString,77.581989,12.89704,2
0,MA,Major road (unverified expansion),,12.0,24.0,10.6,LineString,77.582047,12.897159,3
