# Per-ward service accessibility for bengaluru. Scores are weighted formulas, NOT machine learning, and a missing input is reported as UNAVAILABLE rather than scored zero.
ward_no,ward_key,ward_name,corporation,zone,area_km2,facilities_total,facility_density_per_km2,counts_healthcare,counts_education,counts_transport,counts_government,counts_daily_life,nearest_m_healthcare,nearest_m_education,nearest_m_transport,nearest_m_government,nearest_m_daily_life,scores_healthcare,scores_education,scores_transport,scores_government,scores_daily_life,infrastructure_score,median_psf,listings,development_pressure
25,West|25,25 - Vinayaka Layout,West,Rajarajeshwarinagar,2.59,52,20.1,10,9,24,0,9,336,472,303,1037,341,94,88,90,87,89,90,5254,52,1.0
2,North|2,2 - Aerocity,North,Yelahanka,10.31,59,5.7,5,30,18,1,5,510,610,139,1470,690,92,85,95,82,77,86,,,
3,North|3,3 - Chowdeshwari ward,North,Yelahanka,6.46,18,2.8,2,2,12,0,2,488,642,496,2278,410,92,84,83,72,86,83,5391,19,0.6
15,East|15,15 - Ramamurthy Nagara,East,K.R. Pura,0.81,10,12.4,0,4,3,1,2,346,235,289,424,137,94,94,90,95,95,94,4714,59,0.7
58,North|58,58 - Nagashettyhalli,North,Yelahanka,0.96,25,26.0,2,4,6,1,12,348,199,238,365,334,94,95,92,95,89,93,6022,4,0.1
21,North|21,21 - Kogilu,North,Byatarayanapura,11.92,65,5.5,14,18,25,0,8,241,208,304,2837,1343,96,95,90,65,55,80,4444,34,1.3
46,East|46,46 - Yamalur,East,Mahadevapura,7.09,20,2.8,1,7,3,1,8,1508,637,1321,964,218,75,84,56,88,93,79,5226,2,0.1
24,Central|24,24 - Agaram,Central,C.V. Raman Nagar,11.1,55,5.0,6,11,28,4,6,937,769,385,1436,676,84,81,87,82,77,82,,,
72,North|72,72 - Dasarahalli,North,Yelahanka,0.75,8,10.7,2,1,3,0,2,411,316,293,876,463,93,92,90,89,85,90,,,
11,Central|11,11 - Old Baiyappanahalli,Central,C.V. Raman Nagar,0.55,8,14.5,2,0,6,0,0,692,893,119,450,823,88,78,96,94,73,86,,,
16,East|16,16 - Kotthur,East,K.R. Pura,1.24,12,9.7,4,2,0,3,3,421,281,431,417,430,93,93,86,95,86,91,,,
69,North|69,69 - Bagalagunte,North,Yelahanka,2.53,25,9.9,1,4,11,0,9,689,502,135,1973,331,89,87,96,75,89,87,6356,5,0.1
34,North|34,34 - Subbayanapalya,North,Byatarayanapura,0.48,12,24.9,1,0,6,0,5,54,492,97,616,76,99,88,97,92,97,95,,,
68,North|68,68 - Mallasandra,North,Yelahanka,1.2,11,9.2,1,2,3,1,4,571,442,429,662,52,90,89,86,92,98,91,,,
70,North|70,70 - Manjunatha Nagar,North,Yelahanka,1.5,14,9.3,1,4,6,0,3,926,189,380,1901,389,85,95,87,76,87,86,,,
