# Per-ward service accessibility for chennai. Scores are weighted formulas, NOT machine learning, and a missing input is reported as UNAVAILABLE rather than scored zero.
ward_no,ward_key,ward_name,corporation,zone,area_km2,facilities_total,facility_density_per_km2,counts_healthcare,counts_education,counts_transport,counts_government,counts_daily_life,nearest_m_healthcare,nearest_m_education,nearest_m_transport,nearest_m_government,nearest_m_daily_life,scores_healthcare,scores_education,scores_transport,scores_government,scores_daily_life,infrastructure_score,median_psf,listings,development_pressure
168,Greater Chennai Corporation|168,Ward 168 - SIDCO Industrial Estate,Greater Chennai Corporation,ADYAR,3.59,28,7.8,0,3,17,4,4,790,296,833,651,842,87,93,72,92,72,83,,,
169,Greater Chennai Corporation|169,Ward 169 - Little Mount,Greater Chennai Corporation,ADYAR,3.79,50,13.2,9,9,16,8,8,530,532,464,195,606,91,87,85,98,80,88,,,
170,Greater Chennai Corporation|170,Ward 170 - Kotturpuram,Greater Chennai Corporation,ADYAR,2.72,21,7.7,1,6,13,0,1,492,119,292,862,708,92,97,90,89,76,89,,,
171,Greater Chennai Corporation|171,Ward 171 - MRC Nagar,Greater Chennai Corporation,ADYAR,3.37,34,10.1,5,7,16,5,1,168,107,93,411,401,97,97,97,95,87,95,,,
174,Greater Chennai Corporation|174,Ward 174 - Besant Nagar,Greater Chennai Corporation,ADYAR,3.49,51,14.6,12,12,15,5,7,307,253,458,325,515,95,94,85,96,83,91,9523,774,5.1
173,Greater Chennai Corporation|173,Ward 173 - Gandhinagar,Greater Chennai Corporation,ADYAR,2.75,54,19.6,14,13,9,1,17,53,202,271,290,66,99,95,91,96,98,96,,,
179,Greater Chennai Corporation|179,Ward 179 - Thiruvanmiyur,Greater Chennai Corporation,ADYAR,1.89,20,10.6,10,3,4,1,2,108,408,507,652,460,98,90,83,92,85,90,,,
178,Greater Chennai Corporation|178,Ward 178 - Taramani,Greater Chennai Corporation,ADYAR,2.72,30,11.0,1,9,19,0,1,898,51,205,1418,584,85,99,93,82,81,88,,,
172,Greater Chennai Corporation|172,Ward 172 - Guindy,Greater Chennai Corporation,ADYAR,8.43,63,7.5,1,7,44,3,8,673,536,215,1053,690,89,87,93,87,77,87,,,
177,Greater Chennai Corporation|177,Ward 177 - Velachery,Greater Chennai Corporation,ADYAR,2.8,75,26.8,20,11,14,5,25,218,129,344,241,231,96,97,89,97,92,94,5988,981,4.3
176,Greater Chennai Corporation|176,Ward 176 - Adambakkam,Greater Chennai Corporation,ADYAR,1.8,15,8.3,3,2,1,0,9,414,373,717,740,439,93,91,76,91,85,87,,,
175,Greater Chennai Corporation|175,Ward 175 - Dr Ambedkar Nagar,Greater Chennai Corporation,ADYAR,1.44,11,7.6,4,2,4,1,0,120,454,626,209,778,98,89,79,97,74,87,,,
180,Greater Chennai Corporation|180,Ward 180 - Devendra Nagar,Greater Chennai Corporation,ADYAR,1.83,28,15.3,4,4,11,6,3,276,270,443,449,304,95,93,85,94,90,91,,,
