layer,category,name,publisher,tier,availability,rows,licence,source_url,download_url,retrieved_at,powers,why_it_matters,caveats
gba_wards,Administrative boundaries,"GBA Final Wards Delimitation 2025 (369 wards, with population)",Greater Bengaluru Authority,T2,DOWNLOAD,sha256=b61575248b0492a65,Other (Public Domain) as stated by the OpenCity portal,https://data.opencity.in/dataset/gba-wards-delimitation-2025,https://data.opencity.in/dataset/863209cb-4ced-4f51-b5c5-156939c50922/resource/9013d656-8051-4e2d-9648-46efd0d86d3d/download/gba-369-wards-december-2025.kml,2026-08-09,"Module 1 jurisdiction, Module 21 ward analytics, Module 22 map; spatial-block CV groups for every Bengaluru model",The whole platform keys off which of the 369 wards a point falls in. Without it nothing else resolves.,
chennai_wards,Administrative boundaries,Greater Chennai Corporation ward and zone boundaries (2022),Greater Chennai Corporation,T2,DOWNLOAD,sha256=be48ef7eb4320279e,As published by the OpenCity urban data portal,https://data.opencity.in/dataset/gcc-ward-information,,2026-08-18,"Module 1 jurisdiction for Chennai, ward analytics, map, Tamil ward names","GCC publishes ward numbers only. Place names here are DERIVED from OpenStreetMap, not official.","Ward names are not published in this source — wards are identified by number only | Zone assignment is derived by spatial join, not read from the ward source file | Ward map vintage is 2022; re-check for later delimitation"
admin_subdistricts_bengaluru,Administrative boundaries,District and taluk boundaries — bengaluru,"Local Government Directory (LGD) and Survey of India, via the india-geodata community compilation",T3,DOWNLOAD,24,"CC0-1.0 (public domain dedication, as released)",https://github.com/yashveeeeeeer/india-geodata,https://github.com/yashveeeeeeer/india-geodata/releases/download/admin/subdistricts/LGD_Subdistricts.geojsonl.7z,2026-08-12,District and taluk for any point in Bengaluru,Took taluk coverage from 3 taluks (revenue sheets only) to 100% of localities.,"REPUBLISHED, NOT OFFICIAL. LGD and Survey of India are the upstream authorities; this project retrieved a community compilation of them, so it is T3 and reported as INDICATIVE. | VINTAGE IS NOT STATED per feature. Karnataka and Tamil Nadu have both reorganised taluks in recent years, so a name here may predate a reorganisation. | THIS LAYER CANNOT PRODUCE A SURVEY NUMBER. It answers which taluk a point falls in. Survey number remains sourced from the revenue sheets and stays UNAVAILABLE outside their footprint. | Hobli is not an LGD level and is not present in this layer. It remains available only where a revenue sheet covers the point."
admin_subdistricts_chennai,Administrative boundaries,District and taluk boundaries — chennai,"Local Government Directory (LGD) and Survey of India, via the india-geodata community compilation",T3,DOWNLOAD,30,"CC0-1.0 (public domain dedication, as released)",https://github.com/yashveeeeeeer/india-geodata,https://github.com/yashveeeeeeer/india-geodata/releases/download/admin/subdistricts/LGD_Subdistricts.geojsonl.7z,2026-08-12,District and taluk for any point in Chennai,Chennai had no taluk data at all before this.,"REPUBLISHED, NOT OFFICIAL. LGD and Survey of India are the upstream authorities; this project retrieved a community compilation of them, so it is T3 and reported as INDICATIVE. | VINTAGE IS NOT STATED per feature. Karnataka and Tamil Nadu have both reorganised taluks in recent years, so a name here may predate a reorganisation. | THIS LAYER CANNOT PRODUCE A SURVEY NUMBER. It answers which taluk a point falls in. Survey number remains sourced from the revenue sheets and stays UNAVAILABLE outside their footprint. | Hobli is not an LGD level and is not present in this layer. It remains available only where a revenue sheet covers the point."
revenue_parcels,Cadastral records,"Bengaluru Urban revenue maps — taluk, hobli, village, survey number",Karnataka Revenue Department (digitised sheets),T2,DOWNLOAD,92 sheets,As published by the OpenCity urban data portal,https://data.opencity.in/dataset/bengaluru-urban-revenue-maps,,2026-08-12,"Hobli, village and survey number (Module 1, Module 2)","The only source of a survey number in the project, and it covers 7% of localities. Everything outside it returns UNAVAILABLE.",COVERAGE IS PARTIAL — only the taluks and hoblis published in this dataset are present. Points outside them return UNAVAILABLE. | A survey number from a digitised revenue sheet is INDICATIVE. It is not a legal determination of boundary or title; those are settled by the Sub-Registrar and a licensed surveyor. | Sheet vintage is not stated per file; treat as historical and re-verify before relying on it.
flood_locations_bengaluru,Environmental,"Reported flooding locations, Bengaluru Urban",Bruhat Bengaluru Mahanagara Palike (BBMP),T2,DOWNLOAD,391,Other (Public Domain) as stated by the OpenCity portal,https://data.opencity.in/dataset/flooding-locations-in-bengaluru-urban,,2026-08-18,Module 12 proximity to reported flooding,"Reported locations only. Explicitly NOT folded into the risk score, which still lists flood as excluded.","These are reported flooding locations, not a hazard model. No return period, depth, drainage capacity or terrain analysis is attached. Distance to the nearest reported point is NOT a flood risk score. | No reported point nearby does NOT mean the property does not flood. It means none was recorded in this dataset. | POINT DATA, NOT INUNDATION GEOMETRY. A point marks a reported location, not the extent of flooding around it. | No date is attached per point, so the reporting period is unknown and conditions may have changed since. | This layer does NOT feed the environmental risk score. Flood remains listed as excluded there (audit R7)."
road_network_bengaluru,Infrastructure,Bengaluru road width map — road centrelines with existing and proposed width,Bruhat Bengaluru Mahanagara Palike (BBMP),T2,DOWNLOAD,"23,324",Other (Public Domain) as stated by the OpenCity portal,https://data.opencity.in/dataset/bengaluru-road-width-map,,2026-08-12,Module 8 road intelligence; offers a road width to Module 6 feasibility,Contains TWO width columns. The proposed one would double reported buildable area city-wide if used.,"NEITHER FIELD IS A SURVEYED ROAD WIDTH. Statutory FAR, height and setback depend on the width of the road abutting a specific plot, measured on the ground or taken from a sanctioned plan. | RR_WIDTH_P MUST NOT BE USED FOR FEASIBILITY. If it is a proposed width, using it would report floor area that is not permissible today — median proposed width is roughly double median existing. | COVERAGE IS BBMP-ERA — the former ~198-ward BBMP area, not all 369 Greater Bengaluru wards. Points outside it return UNAVAILABLE. | NO ROAD NAMES are published in this dataset, so a segment cannot be identified by name. | THIS IS NOT THE COMPLETE STREET NETWORK. It is a width map for the roads BBMP tracks — arterial and collector roads. Most residential lanes have no segment here. See coverage.measured below. | The road-hierarchy codes (MA, MI, PU, OR, IR, CR, PR) are published without a data dictionary. Expansions shown anywhere in this project are labelled unverified."
osm_amenities,Points of interest,"OpenStreetMap amenities, transport and government offices",OpenStreetMap contributors,T3,API,bbox=12.70,Open Database License (ODbL) 1.0,https://overpass-api.de/api/interpreter,,2026-08-09,"Modules 9, 10, 11 proximity; 11 GIS features in every model",Adding these raised Bengaluru's honest spatial-CV R² from 0.3078 to 0.4231.,OSM completeness varies across Greater Bengaluru; absence of a facility in this layer is not evidence that none exists | Government/private classification relies on OSM tagging and is unreliable; it is not an official directory | Jurisdiction is NOT determined by proximity — the nearest office is not necessarily the office with jurisdiction
osm_amenities_chennai,Points of interest,"OpenStreetMap amenities, transport and government offices",OpenStreetMap contributors,T3,API,bbox=12.83,Open Database License (ODbL) 1.0,https://overpass-api.de/api/interpreter,,2026-08-11,"Modules 9, 10, 11 for Chennai; GIS features","Same features, separate file — the two cities' layers are never pooled.",OSM completeness varies across Greater Bengaluru; absence of a facility in this layer is not evidence that none exists | Government/private classification relies on OSM tagging and is unreliable; it is not an official directory | Jurisdiction is NOT determined by proximity — the nearest office is not necessarily the office with jurisdiction
locality_gazetteer_bengaluru,Points of interest,OpenStreetMap locality gazetteer — bengaluru,OpenStreetMap contributors,T3,API,1885 unique locality nam,Open Database License (ODbL) 1.0,https://www.openstreetmap.org/,,2026-08-09,"Locality search, geocoding the property dataset to wards","Joins the T4 property dataset to real geography, which is what makes spatial-block CV possible.","Locality-level resolution only — a locality centroid is not the property's location | Matching a dataset locality string to an OSM place name is derived evidence, not proof of location"
